APayroll_mean,APayroll_std,Establishment_mean,Establishment_std,county_health_exp,income,municipal_health_exp,pov,revenue,state,performance
305.7003745,2309.964041,2.247191011,2.469121631,163330,25753,1908,8520,4260824,40,nominal
1024.445431,4920.2448,5.031725888,10.79908973,2985764,38784,87281,28591,10561683,22,better
813.7715803,3333.669427,5.30810093,11.71824141,7983749,52357,1742437,33247,71170951,4,nominal
3684.854492,25054.25478,8.879141267,28.11854209,1013293,44094.6,518881,67151.4,19183472,43,nominal
2342.41784,8749.541181,4.577464789,8.876663875,1013293,62781,518881,16675,19183472,43,nominal
4822.495197,19522.69832,11.75283843,30.85471047,313,44097,11639,104731,193565,21,better
3358.716341,13184.08488,9.491264132,23.44565504,1013293,41804,518881,84518,19183472,43,better
30062.54704,128082.4826,47.40487805,149.067323,328548,85685,122246,541164,20885189,20,worse
12940.66643,74513.69179,25.78913963,76.71405242,550453,70619,66703,335745,7161676,23,nominal
667.0206186,3075.872514,3.93814433,6.604241113,1493425,33443,10435,23652,26346495,27,nominal
289.6236559,978.0553087,3.051075269,4.200510035,31102,48814,18745,6375,1546604,29,nominal
1654.594118,9771.10266,4.641176471,8.753033187,266881,30252,7756,70957,4172856,3,nominal
393.447479,1873.210213,3.340336134,5.185986288,416996,37683,43585,12539,3292001,12,nominal
613.6869919,2189.665254,3.861788618,6.419896774,484773,36915,55845,17987,8844475,10,nominal
40104.06876,156025.2405,55.76227898,179.9696143,201799,61092,61864,601185,3931577,5,better
376.0917108,1205.731468,4.259259259,8.134784284,201799,44417,61864,12078,3931577,5,nominal
415.7987421,1798.829145,3.471698113,5.943866962,2985764,38201,87281,15256,10561683,22,nominal
1047.511265,5772.572785,4.535528596,7.742998816,11515,38497,35573,18478,1355400,2,nominal
40007.81346,223924.1268,29.40673077,106.5099549,604123,101533,333100,222087,19259927,45,nominal
1429.030896,5855.399057,7.014418126,17.2953065,1551153,47524.5,1401569,34605.5,9526884,38,nominal
2643.275026,10847.21605,10.53319283,24.92838274,313,37092,11639,68432,193565,21,better
608.5585739,2709.96208,4.584040747,8.971334734,1493425,35155,10435,26868,26346495,27,nominal
1310.392956,5953.823527,5.270027624,11.60616746,1120699,43052.5,167436,33021.5,6107243,48,nominal
913.6039604,2972.564363,4.198019802,7.007960046,11515,36479,35573,21052,1355400,2,nominal
2712.853465,13554.2862,9.675247525,24.1580828,2153358,40899,186577,96094,12226715,35,nominal
796.8828829,2965.210738,3.965765766,6.70205927,923991,42842,116650,21861,6458800,47,nominal
2419.215531,14608.45043,5.372424723,10.09710631,1013293,46631,518881,46596,19183472,43,nominal
479.1531213,3124.611533,3.268551237,5.172584013,105745,43697.5,130426,10445.5,2679937,24,nominal
1332.417783,5601.777537,6.56638246,15.63343946,2153358,35783,186577,55143,12226715,35,nominal
14450.98884,81449.69196,25.68685259,79.97787739,173550,51668,133334,269939,10122257,31,better
308.6864198,1030.018347,3.150617284,4.578201781,69497,34973,105591,13097,1793454,36,nominal
393.7583497,1627.536861,3.408644401,5.682027538,95989,31644,6970,18979,3593979,25,nominal
748.375,3630.378917,4.449675325,8.233230301,105745,41164,130426,23433,2679937,24,nominal
252.3697749,890.3480553,2.829581994,3.72349465,416996,47227,43585,5726,3292001,12,nominal
2362.289646,16131.65881,6.390563565,13.55060565,2153358,54010,186577,45238,12226715,35,nominal
2339.071586,12083.15006,7.775330396,18.96431301,604123,54834,333100,71276,19259927,45,better
1126.875197,5561.282244,4.605055292,8.281944658,1013293,52042,518881,28551,19183472,43,nominal
1158.762319,4014.515733,5.914492754,12.89681924,69968,51868,18248,54762,2311480,1,nominal
672.1948052,2115.72356,4.758812616,8.787098269,1493425,34933,10435,15312,26346495,27,nominal
102.3033175,343.777216,2.369668246,2.94647964,201799,35787,61864,3591,3931577,5,nominal
314.4525745,1155.848246,2.886178862,3.963563502,484773,33781,55845,10866,8844475,10,nominal
222.1627907,732.1041252,2.627906977,2.973396252,1013293,37626,518881,6965,19183472,43,nominal
443.2328654,2311.435617,3.79521057,7.011514274,651456,41946.66667,16604,14508.33333,3507538,37,nominal
3753.079365,15423.52046,14.2421915,44.89175531,484773,41677,55845,116673.5,8844475,10,nominal
40740.33463,142454.6109,63.3869509,206.9159184,328548,64624,122246,801716,20885189,20,better
43991.31839,232053.7433,39.95517469,133.9314324,328548,41988,122246,599441,20885189,20,worse
2683.028926,10443.70738,10.0464876,25.52973221,44739,42665,8488,81243,1022630,13,better
297.9804469,1266.776947,2.723463687,3.656705174,2985764,40402,87281,7678,10561683,22,nominal
324.5955056,1394.683791,3.16011236,4.716131619,257919,50097,33200,4899,2883315,16,nominal
622.6513859,3953.927979,3.789978678,6.488280692,54264,33269.5,6200,19760,907675,49,nominal
597.9874214,2123.89927,3.769392034,5.855514015,20475,52035,7836,10686,657397,28,nominal
9632.39313,35232.4091,31.50381679,97.91448492,5851,60685,54674,211022,90072,19,better
580.475162,4043.417167,3.758099352,6.786941103,163330,31899,1908,21799,4260824,40,nominal
